Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Partial similarity modeling for the performance of an axial turbine,Journal of Mechanical Science and Technology,,,,10.1007/s12206-024-0937-8,Jung-Bo SimOu Sek ChangSe-Jin YookYoung Won Kim,2024,https://link.springer.com/article/10.1007/s12206-024-0937-8,Article
Total Load Transport Model for Sand Bed Rivers,"Riverine, Estuarine and Marine Hydraulics",,,,10.1007/978-981-97-6009-1_21,Urvashi MalaniSahita I. WaikhomSanjay M. Yadav,2024,https://link.springer.com/chapter/10.1007/978-981-97-6009-1_21,Conference paper
Enhancing seismic performance prediction of RC frames using MFF-ANN model approach,Multimedia Tools and Applications,,,,10.1007/s11042-023-16931-4,Deepthy S. NairM. Beena Mol,2023,https://link.springer.com/article/10.1007/s11042-023-16931-4,Article
IoT System for&#xa0;Elbow Angle Assessment Applied to&#xa0;Orthosis Device,IX Latin American Congress on Biomedical Engineering and XXVIII Brazilian Congress on Biomedical Engineering,,,,10.1007/978-3-031-49410-9_24,Beatriz CunhaJean SchmithRodrigo Marques de Figueiredo,2024,https://link.springer.com/chapter/10.1007/978-3-031-49410-9_24,Conference paper
Major Research Achievements,The Fundamental Research for Trustworthy Software,,,,10.1007/978-981-99-5589-3_3,Jifeng HeBinxing FangJiaguang SunZongben XuYong ShiJi WangZhiguang ShanGeguang PuKe LiuRuizhen ZhaoZhaotian ZhangJian Guo,2024,https://link.springer.com/chapter/10.1007/978-981-99-5589-3_3,Chapter
Testing for biofilm release as a function of simulated ship speed using a calibrated water jet device,Journal of Coatings Technology and Research,,,,10.1007/s11998-024-00934-3,Zachary ShepardD. M. L. MeyerKayla KurtzAsa JulienVinka Oyanedel-CraverLucie Maranda,2024,https://link.springer.com/article/10.1007/s11998-024-00934-3,Article
File processing security detection in multi-cloud environments: a process mining approach,Journal of Cloud Computing,,,,10.1186/s13677-023-00474-y,Xiaolu ZhangLei CuiWuqiang ShenJijun ZengLi DuHaoyang HeLong Cheng,2023,https://link.springer.com/article/10.1186/s13677-023-00474-y,Article
A CFD-Based Collaborative Approach for Box-Wing Aircraft Aerodynamic Assessment: The PARSIFAL Study Case,Aerotecnica Missili & Spazio,,,,10.1007/s42496-023-00172-7,Karim Abu SalemGiuseppe PalaiaMarco CariniMichaël MéheutMarco MaganziCarmine Falcone,2023,https://link.springer.com/article/10.1007/s42496-023-00172-7,Article
Machine Learning-Based Automated Irrigation for Indoor: Review and a Case Study,"Advances in Communication, Devices and Networking",,,,10.1007/978-981-99-1983-3_38,Ian DwyerKenneth GerkeDinh-Thuan Do,2023,https://link.springer.com/chapter/10.1007/978-981-99-1983-3_38,Conference paper
M&amp;S Bok Core Areas and the Big Picture,Body of Knowledge for Modeling and Simulation,,,,10.1007/978-3-031-11085-6_2,Tuncer ÖrenUmang KantMayank SingPaul FishwickMamadou Kaba TraoréLin ZhangYuanjun LailiBernard P. ZeiglerAndreas TolkGregory ZacharewiczMohammad S. ObaidatBalqies Sadoun,2023,https://link.springer.com/chapter/10.1007/978-3-031-11085-6_2,Chapter
Prediction of WEDM Performances Using Clustering Techniques in ANFIS During Machining of A286 Superalloy,Journal of The Institution of Engineers (India): Series C,,,,10.1007/s40032-023-00922-3,Subhankar SahaSaikat Ranjan MaitySudip Dey,2023,https://link.springer.com/article/10.1007/s40032-023-00922-3,Article
AI-driven predictions of geophysical river flows with vegetation,Scientific Reports,,,,10.1038/s41598-024-67269-2,Sanjit KumarMayank AgarwalVishal DeshpandeJames R. CooperKhabat KhosraviNamal RathnayakeYukinobu HoshinoKomali KantamaneniUpaka Rathnayake,2024,https://link.springer.com/article/10.1038/s41598-024-67269-2,Article
Application of Smart Strategies for Sustainable Manufacturing of Conventional Machining Process: A Review,Journal of The Institution of Engineers (India): Series C,,,,10.1007/s40032-023-00995-0,Yogesh V. DeshpandeS. AyerT. AgrawalV. AgrawalT. A. MadankarP. S. Barve,2023,https://link.springer.com/article/10.1007/s40032-023-00995-0,Article
Uncertain Multidisciplinary Design Optimization on Next Generation Subsea Production System by Using Surrogate Model and Interval Method,China Ocean Engineering,,,,10.1007/s13344-021-0055-7,Jia-hao WuXing-wei ZhenGang LiuYi Huang,2021,https://link.springer.com/article/10.1007/s13344-021-0055-7,Article
Review on Small Horizontal-Axis Wind Turbines,Arabian Journal for Science and Engineering,,,,10.1007/s13369-023-08314-6,Kamal A. R. IsmailFatima A. M. LinoOdenir de AlmeidaMohamed TeggarVicente Luiz ScalonWillian M. Okita,2023,https://link.springer.com/article/10.1007/s13369-023-08314-6,Article
State of the art,Performance simulation of modular product architectures by model-based configuration,,,,10.1007/978-3-662-64233-7_3,Florian M. Dambietz,2022,https://link.springer.com/chapter/10.1007/978-3-662-64233-7_3,Chapter
Optimal Specifications of a Trombe Wall in Low-Rise Residential Buildings of Mashhad,Applied Solar Energy,,,,10.3103/S0003701X2260117X,Hoda AsdaghiRima Fayaz,2023,https://link.springer.com/article/10.3103/S0003701X2260117X,Article
Parametric Structural Calculation of Shield Linings for Large-Diameter Tunnels Based on the Shell-Spring Model,KSCE Journal of Civil Engineering,,,,10.1007/s12205-023-2327-7,Linhao LiKe ChenJun WangZehao Jiang,2023,https://link.springer.com/article/10.1007/s12205-023-2327-7,Article
"CNN–SVM Based Fault Detection, Classification and Location of Multi-terminal VSC–HVDC System",Journal of Electrical Engineering & Technology,,,,10.1007/s42835-023-01391-5,A. Jasmine GnanamalarR. BhavaniA. Sheryl AruliniM. Sai Veerraju,2023,https://link.springer.com/article/10.1007/s42835-023-01391-5,Article
"Development of riverbank erosion rate predictor for natural channels using NARX-QR Factorization model: a case study of Sg. Bernam, Selangor, Malaysia",Neural Computing and Applications,,,,10.1007/s00521-020-04835-5,Azlinda SaadonJazuri AbdullahNur Shazwani MuhammadJunaidah Ariffin,2020,https://link.springer.com/article/10.1007/s00521-020-04835-5,Article
Shaking Table Test on Composite Isolation System of High-speed Railway Station with Integrated Station-Bridge Structure,KSCE Journal of Civil Engineering,,,,10.1007/s12205-023-0542-x,Yingying ZhangPenghao YuBaorui SunYi ZhouPeijian ChenJunhao XuYushuai Zhao,2023,https://link.springer.com/article/10.1007/s12205-023-0542-x,Article
Empowering education development through AIGC: A systematic literature review,Education and Information Technologies,,,,10.1007/s10639-024-12549-7,Xiaojiao ChenZhebing HuChengliang Wang,2024,https://link.springer.com/article/10.1007/s10639-024-12549-7,Article
Framework on low-carbon retrofit of rural residential buildings in arid areas of northwest China: A case study of Turpan residential buildings,Building Simulation,,,,10.1007/s12273-022-0941-9,Junkang SongWanjiang WangPingan NiHanjie ZhengZihan ZhangYihuan Zhou,2022,https://link.springer.com/article/10.1007/s12273-022-0941-9,Article
An experimental study of group-by and aggregation on CPU-GPU processors,Journal of Engineering and Applied Science,,,,10.1186/s44147-022-00108-1,Hua LuanLei Chang,2022,https://link.springer.com/article/10.1186/s44147-022-00108-1,Article
Numerical and empirical simulation of fluid flow in a spiral plate heat exchanger with Nusselt number correlation development,International Journal on Interactive Design and Manufacturing (IJIDeM),,,,10.1007/s12008-023-01454-x,Abhishek DasoreRamakrishna KonijetiB. Om PrakashBalram Yelamasetti,2023,https://link.springer.com/article/10.1007/s12008-023-01454-x,Article
Do-it-yourself menu management and pricing,Journal of Revenue and Pricing Management,,,,10.1057/s41272-023-00419-9,Hao Bin Jack LaiShahrim Karim,2023,https://link.springer.com/article/10.1057/s41272-023-00419-9,Article
Smart city information processing under internet of things and cloud computing,The Journal of Supercomputing,,,,10.1007/s11227-021-03972-5,Peng SuYuanyuan ChenMengmeng Lu,2021,https://link.springer.com/article/10.1007/s11227-021-03972-5,Article
Design and fabrication of an aluminium oxide cutting insert with an internal cooling channel,Advances in Manufacturing,,,,10.1007/s40436-024-00483-3,John O’HaraFeng-Zhou Fang,2024,https://link.springer.com/article/10.1007/s40436-024-00483-3,Article
Cryptographic Competitions,Journal of Cryptology,,,,10.1007/s00145-023-09467-1,Daniel J. Bernstein,2023,https://link.springer.com/article/10.1007/s00145-023-09467-1,Article
Multi-objective optimization of thermochromic glazing based on daylight and energy performance evaluation,Building Simulation,,,,10.1007/s12273-021-0778-7,Xiaoqiang HongFeng ShiShaosen WangXuan YangYue Yang,2021,https://link.springer.com/article/10.1007/s12273-021-0778-7,Article
Enhancing radiative efficiency in MHD micropumps using plasma-infused hybrid bioconvective nanofluids for advanced radiative oncology at tertiary level,Scientific Reports,,,,10.1038/s41598-023-45513-5,Abyaz AbidA. K. AzadArafat A. Bhuiyan,2023,https://link.springer.com/article/10.1038/s41598-023-45513-5,Article
"CARS 2022—Computer Assisted Radiology and Surgery Proceedings of the 36th International Congress and Exhibition Tokyo, Japan, June 7–11, 2022",International Journal of Computer Assisted Radiology and Surgery,,,,10.1007/s11548-022-02635-x,,2022,https://link.springer.com/article/10.1007/s11548-022-02635-x,Article
Performance Improvement of DLR Scramjet Combustor Using Modified Strut Injector,Arabian Journal for Science and Engineering,,,,10.1007/s13369-024-09013-6,Anupam DebnathAabir DasBidesh Roy,2024,https://link.springer.com/article/10.1007/s13369-024-09013-6,Article
Using Bayesian network technology to predict the semiconductor manufacturing yield rate in IoT,The Journal of Supercomputing,,,,10.1007/s11227-021-03649-z,Xiaodong FangChan ChangGenggeng Liu,2021,https://link.springer.com/article/10.1007/s11227-021-03649-z,Article
